Zip,InstallationsPerZip,Households,Pop,AverageIncome,Centile_HHI,Sola_Penetration,Centile_Solar_Penetration,SolarInstalled,Average HH Size,Centile_HHSize,Electric Utility,OwnerOccupancyPercentage,OwnerDetachedpercentage
12993,8,573,1719,59414.9525,6,0.013961606,7,1,2.36,9,NYS Electric and Gas,0.8802,0.885159011
13021,40,13334,40004,56598.4731,6,0.00299985,10,1,2.34,9,National Grid,0.6131,0.900578958
13028,0,464,1394,58632.4429,6,0,10,0,2.48,8,Other,0.7021,0.853658537
13040,12,918,2754,58560.8283,6,0.013071895,7,1,2.51,8,NYS Electric and Gas,0.7789,0.704427083
13041,33,3252,9758,81201.5783,3,0.010147601,8,1,2.86,4,National Grid,0.9281,0.94883981
13069,38,8395,25186,53927.8565,7,0.004526504,9,1,2.69,6,National Grid,0.6827,0.832680558
13071,4,349,1048,63455,6,0.011461318,8,1,2.57,7,NYS Electric and Gas,0.7429,0.825174825
13088,17,7321,21965,59696.0969,6,0.002322087,10,1,2.14,10,National Grid,0.6,0.912586264
13090,18,10265,30795,77123.5565,4,0.001753531,10,1,2.52,7,National Grid,0.7282,0.872881356
13101,6,819,2457,61849.705,6,0.007326007,9,1,2.8,5,National Grid,0.7527,0.78561354
13112,11,650,1951,78236.45,4,0.016923077,6,1,2.77,5,National Grid,0.9446,0.965333333
13116,3,1117,3351,66750,5,0.002685765,10,1,2.33,9,National Grid,0.8091,0.959561921
13118,21,2215,6646,64139.138,6,0.009480813,8,1,2.56,7,NYS Electric and Gas,0.8257,0.7553916
13163,2,111,334,61267,6,0.018018018,6,1,2.51,7,National Grid,0.9191,1
13166,14,1997,5992,59112.0643,6,0.007010516,9,1,2.43,8,Rochester Gas and Electric,0.8351,0.718177056
13204,6,6836,20508,32884.738,7,0.000877706,10,1,2.41,9,National Grid,0.3075,0.682250396
