,TotalOccupied,OwnerOccupancyPercentage,TotalOccupiedbyOwner,OccupiedbyOwnerdetached homes,OwnerDetachedpercentage,OccupiedbyOwnerSemiDetached,OccupiedbyOwnerMultiIUnits,OccupiedbyOwnerMobileorBoat,TotalOccupiedbyRenter,OccupiedbyRenter detached homes,OccupiedbyRenterSemiDetached,OccupiedbyRenterMultiIUnits,OccupiedbyRenterMobileorBoat
10973,814,0.7973,649,633,0.975346687,16,0,0,165,77,0,26,62
10974,1103,0.7416,818,806,0.985330073,0,12,0,285,97,33,155,0
10975,188,0.7128,134,76,0.567164179,11,47,0,54,0,0,54,0
10976,673,0.5067,341,301,0.882697947,0,0,40,332,39,0,293,0
10977,14796,0.5047,7468,5645,0.755891805,897,926,0,7328,889,334,6075,30
10979,87,1.0000,87,87,1,0,0,0,0,0,0,0,0
10980,4532,0.8511,3857,3494,0.905885403,33,97,233,675,127,0,520,28
10983,1857,0.9618,1786,1647,0.922172452,48,76,15,71,22,0,49,0
10984,920,0.9337,859,811,0.944121071,13,35,0,61,18,0,43,0
10985,7,1.0000,7,7,1,0,0,0,0,0,0,0,0
10986,633,0.8768,555,550,0.990990991,0,5,0,78,69,0,9,0
10987,1363,0.7982,1088,851,0.782169118,190,47,0,275,58,6,211,0
10988,341,0.9062,309,260,0.841423948,0,13,36,32,9,0,23,0
10989,3491,0.7972,2783,2050,0.736615163,93,640,0,708,289,13,383,23
10990,7347,0.8123,5968,5095,0.853719839,571,302,0,1379,415,70,894,0
10992,3294,0.8230,2711,2183,0.80523792,233,135,160,583,48,19,516,0
10993,1526,0.5498,839,412,0.491060787,427,0,0,687,130,87,470,0
10994,2307,0.9298,2145,2055,0.958041958,34,56,0,162,12,14,136,0
10996,777,0.0167,13,9,0.692307692,4,0,0,764,105,426,233,0
10998,866,0.8695,753,673,0.8937583,34,46,0,113,80,10,23,0
11001,9047,0.8039,7273,6151,0.845730785,247,841,34,1774,327,66,1381,0
11003,12048,0.7886,9501,8338,0.877591832,214,906,43,2547,1072,38,1437,0
11004,5065,0.7570,3834,2072,0.540427752,126,1636,0,1231,198,25,1008,0
11005,1619,0.9080,1470,0,0,8,1437,25,149,0,0,149,0
11010,8044,0.8400,6757,6330,0.936806275,73,340,14,1287,446,9,832,0
